STOCK_CODE,TOTAL_STOCK,INCOMING_QTY_AVAILABLE,DUE_DATE,DISCONTINUED
512-BEIGE-225X155,0,0,,Y
512-BEIGE-280X190,0,0,,Y
512-BEIGE-300X80,0,0,,Y
512-BEIGE-320X230,0,0,,Y
512-BEIGE-400X80,0,0,,Y
513-BEIGE-165X115,0,0,,Y
513-BEIGE-225X155,0,0,,Y
513-BEIGE-280X190,0,0,,Y
513-BEIGE-320X230,0,0,,Y
513-BLACK-165X115,0,0,,Y
513-BLACK-225X155,0,0,,Y
513-BLACK-280X190,0,0,,Y
513-BLACK-320X230,0,0,,Y
514-BEIGE-170X120,0,0,,Y
514-BEIGE-225X155,0,0,,Y
514-BEIGE-280X190,0,0,,Y
514-BEIGE-300X80,0,0,,Y
514-BEIGE-400X80,0,0,,Y
519-BROWN-165X115,0,0,,Y
519-BROWN-225X155,0,0,,Y
519-BROWN-280X190,0,0,,Y
519-BROWN-320X220,0,0,,Y
521-BLUE-225X155,0,0,,Y
521-BROWN-225X155,0,0,,Y
521-WHITE-165X115,0,0,,Y
521-WHITE-225X155,0,0,,Y
521-WHITE-280X190,0,0,,Y
522-BR/TU-165X115,0,0,,Y
522-BR/TU-225X155,0,0,,Y
522-BR/TU-280X190,0,0,,Y
523-BROWN-165X115,0,0,,Y
523-BROWN-225X155,0,0,,Y
523-BROWN-280X190,0,0,,Y
524-BEIGE-165X115,0,0,,Y
524-BEIGE-225X155,0,0,,Y
524-BEIGE-280X190,0,0,,Y
524-GREEN-225X155,0,0,,Y
524-RUST-225X155,0,0,,Y
525-BEIGE-165X115,0,0,,Y
525-BEIGE-225X155,0,0,,Y
525-BEIGE-280X190,0,0,,Y
526-BRBE-165X115,0,0,,Y
526-BRBE-225X155,0,0,,Y
526-BRBE-280X190,0,0,,Y
526-WHBL-165X115,0,0,,Y
526-WHBL-225X155,0,0,,Y
526-WHBL-280X190,0,0,,Y
527-BROWN-165X115,0,0,,Y
527-BROWN-225X155,0,0,,Y
527-BROWN-280X190,0,0,,Y
528-BEIGE-165X115,0,0,,Y
528-BEIGE-225X155,0,0,,Y
528-BEIGE-280X190,0,0,,Y
529-BLUE-225X155,0,0,,Y
529-BRO-165X115,0,0,,Y
529-BRO-190X190,0,0,,Y
529-BRO-225X155,0,0,,Y
529-BRO-280X190,0,0,,Y
529-BRO-320X230,0,0,,Y
529-BUR-225X155,0,0,,Y
529-GREEN-225X155,0,0,,Y
530-BEIGE-165X115,0,0,,Y
530-BEIGE-225X155,0,0,,Y
530-BEIGE-280X190,0,0,,Y
530-BEIGE-320X230,0,0,,Y
530-BLUE-165X115,0,0,,Y
530-BLUE-225X155,0,0,,Y
530-BLUE-280X190,0,0,,Y
530-GREEN-225X155,0,0,,Y
530-RED-225X155,0,0,,Y
531-PETROL-225X155,0,0,,Y
532-BROWN-165X115,0,0,,Y
532-BROWN-225X155,0,0,,Y
532-BROWN-280X190,0,0,,Y
532-LATTE-165X115,0,0,,Y
532-LATTE-190X190,0,0,,Y
532-LATTE-225X155,0,0,,Y
532-LATTE-280X190,0,0,,Y
532-WHITE-165X115,0,0,,Y
532-WHITE-225X155,0,0,,Y
532-WHITE-280X190,0,0,,Y
533-RUST-225X155,0,0,,Y
534-BEIGE-165X115,0,0,,Y
534-BEIGE-190X190,0,0,,Y
534-BEIGE-225X155,0,0,,Y
534-BEIGE-280X190,0,0,,Y
534-BEIGE-320X230,0,0,,Y
536-BEIGE-165X115CM,0,0,,Y
536-BEIGE-225X155CM,0,0,,Y
536-BEIGE-280X190CM,0,0,,Y
536-BEIGE-320X230CM,0,0,,Y
536-CHOC-165X115,0,0,,Y
536-CHOC-225X155,0,0,,Y
536-CHOC-280X190,0,0,,Y
536-LATTE-165X115,0,0,,Y
536-LATTE-225X155,0,0,,Y
536-LATTE-280X190,0,0,,Y
536-RED-165X115,0,0,,Y
536-RED-225X155,0,0,,Y
536-RED-280X190,0,0,,Y
536-WHITE-165X115,0,0,,Y
536-WHITE-225X155,0,0,,Y
536-WHITE-280X190,0,0,,Y
608 PERSIAN 326X218,0,0,,Y
804-BEIGE-170X120,0,0,,Y
804-BEIGE-230X160,0,0,,Y
804-BLUE-170X120,0,0,,Y
804-BLUE-230X160,0,0,,Y
804-BURGANDY-170X120,0,0,,Y
804-BURGANDY-230X160,0,0,,Y
804-BURGANDY-290X200,0,0,,Y
853-BEIGE-200X140,0,0,,Y
859-ANTHRACID-170X120,0,0,,Y
859-ANTHRACID-230X160,0,0,,Y
859-ANTHRACID-290X200,0,0,,Y
859-ANTHRACID-320X230,0,0,,Y
859-ANTRACITE-320X230,0,0,,Y
859-BEIGE-170X120,0,0,,Y
859-BEIGE-225X155,0,0,,Y
859-BEIGE-230X160,0,0,,Y
859-BEIGE-280X190,0,0,,Y
859-BEIGE-330X240,0,0,,Y
859-BROWN-170X120,0,0,,Y
859-BROWN-230X160,0,0,,Y
859-BROWN-290X200,0,0,,Y
859-BROWN-320X230,0,0,,Y
859-BUR-170X120,0,0,,Y
859-BUR-230X160,0,0,,Y
859-BUR-280X190,0,0,,Y
859-BUR-290X200,0,0,,Y
859-CHOC-225X155,0,0,,Y
859-CHOC-280X190,0,0,,Y
859-CHOC-320X230,0,0,,Y
859-GOLD-170X120,0,0,,Y
859-GOLD-230X160,0,0,,Y
859-GOLD-290X200,0,0,,Y
859-GREEN-230X160,0,0,,Y
859-GREY-170X120,0,0,,Y
859-GREY-230X160,0,0,,Y
859-MUSHROOM-170X120,0,0,,Y
859-MUSHROOM-230X160,0,0,,Y
859-MUSHROOM-290X200,0,0,,Y
859-MUSHROOM-300X80,0,0,,Y
859-MUSHROOM-400X80,0,0,,Y
859-NATURAL-170X120,0,0,,Y
859-NATURAL-230X160,0,0,,Y
859-NATURAL-290X200,0,0,,Y
859-NATURAL-300X80,0,0,,Y
859-NATURAL-400X80,0,0,,Y
859-TAUPE-165X115,0,0,,Y
859-TAUPE-225X155,0,0,,Y
859-TAUPE-280X190,0,0,,Y
859-WHITE-170X120,0,0,,Y
859-WHITE-230X160,0,0,,Y
859-WHITE-280X190,0,0,,Y
859-WHITE-290X200,0,0,,Y
859-WHITE-320X230,0,0,,Y
871-120X20-A,25,0,,
871-120X20-B,24,0,,
871-BEIGE-165X115,0,0,,
871-BEIGE-225X155,0,0,,
871-BEIGE-280X190,0,0,,
871-BEIGE-300X80,0,0,,
871-BEIGE-320X230,0,0,,
871-BEIGE-400X80,0,0,,
871-BONE-100X80,0,0,,
871-BONE-145X130,0,0,,
871-BONE-165X115,2,28,21/08/2018,
871-BONE-180X180,0,0,,
871-BONE-210X210,0,0,,
871-BONE-225X155,31,50,21/08/2018,
871-BONE-280X190,12,48,21/08/2018,
871-BONE-280X280,0,0,,
871-BONE-300X80,26,20,25/10/2018,
871-BONE-320X230,19,0,,
871-BONE-400X240,0,0,,
871-BONE-400X300,0,0,,
871-BONE-400X80,23,20,25/10/2018,
871-BONE-500X80,0,0,,
871-BONE-600X80,0,0,,
871-BROWN-170X120,0,0,,Y
871-BROWN-190X190,0,0,,
871-BROWN-230X160,0,0,,Y
871-BROWN-280X190,14,0,,Y
871-BROWN-300X80,0,0,,Y
871-BROWN-320X230,0,0,,
871-BROWN-400X80,0,0,,Y
871-CHAR-165X115,26,16,25/10/2018,
871-CHAR-225X155,26,15,21/08/2018,
